Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Has the institution adopted a framework for community stakeholder engagement in governance, ...",A brief description of the policies and procedures that ensure community stakeholder engagement is ...,"A brief description of how the institution identifies and engages community stakeholders, including ...",List of identified community stakeholders,A brief description of successful community stakeholder engagement outcomes from the previous three ...,The website URL where information about the institution’s community stakeholder engagement ...,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:09,mfrever@albion.edu,2.0,Pursuing,--,,,,,--,--
Allegheny College,2016-03-29,2016-03-29 08:54:19,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:32,meganzl@american.edu,2.0,Pursuing,True,"Maintaining good relations with our neighbors is a priority for American University and we welcome the opportunity to be a valuable and valued community partner. 

American University's main vehicle for stakeholder engagement is its Community Liaison Committee (CLC).  The CLC was established to foster positive relations and to maintain regular communication between the university and its neighbors and is made up of individuals from neighboring community organizations and representatives from the university. Meetings are held on a quarterly basis and include updates on active construction projects, university initiatives, and other matters of interest to the community. 

In addition, AU has a full time Community Relations Director who works closely with neighborhood leaders and organizations on issues directly related to the impact of the university on the residential neighborhood. The Director also works to bring community members on to campus to take advantage of what the university has to offer. The Director regularly attends meetings of the local Advisory Neighborhood Commission (ANC) as other local civic associations.","American University is inclusive in its community engagement practices and opens up all meetings, events, and activities to any one who is interested. Information is shared far and wide in an effort to inform as many people as possible about the opportunities for engagement.","Advisory Neighborhood Commission 3D, Advisory Neighborhood Commission 3E, Advisory Neighborhood Commission 3F, Spring Valley/Wesley Heights Citizens Association, Neighbors for a Livable Community, Westover Place Homeowners Association, Embassy Park Homeowners Association, Fort Gaines Citizens Association, Tenleytown Historical Society, Tenleytown Main Streets, Van Ness Main Streets, Tenley Campus Neighbors Association, Tenleytown Neighborhood Association, Ward 3 Vision, Government of the District of Columbia (multiple agencies, Executive Office of the Mayor, Council of the District of Columbia), Mann Elementary School, Janney Elementary School, Metropolitan Memorial United Methodist Church","CLC meetings: attendance continues to grow as more people understand the benefit of the on-going dialogue between neighbors and the university.
Community events: regular community events (D.C. Mayoral debates, outdoor movies, AU arboretum tours, and others) bring neighbors on to campus and show them first hand the benefit of living near the university.
Community audit program: Neighbors age 60 and older who live near the university are able to audit any class at AU for only $100. This program makes lifelong learning possible for many in the neighborhood.
Construction update meetings: Over the course of any university construction project, community stakeholders are kept up to date through regular meetings and other communications which details how the project may impact the neighborhood. ",http://www.american.edu/communityrelations/,--
Appalachian State University,2016-02-01,2016-02-01 13:37:34,balllf@appstate.edu,2.0,Pursuing,True,"Historic Prospective:
Since the original North Carolina Constitution’s call for the University [of North Carolina System] to deliver “useful” learning, UNC has worked to engage with the state’s business, government and nonprofit communities to ensure that it meets their needs and serves the people of North Carolina. When the University system was reconfigured in 1971, a commitment to “public service” was incorporated in the enabling legislation: the mission of the redefined University would be “accomplished in part through public service, which contributes to the solution of societal problems and enriches the quality of life in the state”.

Current Prospective:
The 2013-2018 Strategic Direction document for the University of North Carolina System entitled “Our Time, Our Future” has identified stakeholder engagement as a key strategy for the completion of Goal 3; Serving the people of North Carolina (see: Strategy C, page 60).
http://www.northcarolina.edu/sites/default/files/strategic_directions_2013-2018_0.pdf
UNC General Administration has asked each campus to develop a strategic plan for engagement and public service and to explore ways that encourage more engaged scholarship and research.
Appalachian State University’s strategic plan titled, The Appalachian Experience: Envisioning a just and sustainable future, provides direction for the campus over the course of the next five years. The plan serves as a recognition that the primary focus of the campus is to transform the lives of our students. We believe that this transformational Appalachian Experience results in engaged citizens who understand their responsibility to society. The plan contains six strategic directions. The third, entitled Engaging the State, Region, and World, has as one of its five stated initiatives, a pledge to engage external stakeholders through enhanced communication and deeper relationships.
Further, Appalachian State reports UNC community and economic engagement metrics to the UNC Engagement Council and to the Vice President, UNC General Administration
International, Community and Economic Engagement. This annual report highlights and quantifies Appalachian State's community engagement throughout the year and the community.
","In a letter to the Mayor of Boone, the Chancellor of Appalachian State identified the follow to serve on the “Town and Gown” Committee:
one member of the Town Council
the Town Manager or his designee 
designee from Appalachian State's Chancellor's office
App State Board of Trustees member
Dean of Students
Student Body President, to represent the student constituency
Chair of the Watauga County Commissioners, the County Manager or a designee.



","The “Town and Gown” Committee:
one member of the Town Council
the Town Manager or his designee 
designee from Appalachian State's Chancellor's office
App State Board of Trustees member
Dean of Students
Student Body President, to represent the student constituency
Chair of the Watauga County Commissioners, the County Manager or a designee.
","Blue Ridge Parkway Corps: Provides students the opportunity to get hands on experience with the National Park Service, and to learn about preservation efforts; provides university and program recognition for the Department of Geography; recognized as a model program of its type; documentary film artifacts.  Numerous publications and presentations have arisen from the partnership, including a presentation to the Clover, SC Rotary Club (N.J. Specht); a presentation at Heritage Days in Banner Elk entitled, ""Women of the Parkway; Women of Interest (N. J. Specht); A report for the NPS, ""Historic Furnishing Report on Flat Top Manor"" (Carrie Streeter and Joseph Otto).  The Liaison and students arranged, organized, and directed a 75th Anniversary BRP Conference.  Over the course of the partnership, ASU and the Parkway have received funding for 17 separate grants or cooperative agreements. Preservation of the Rough Ridge area of the Blue Ridge Parkway; annual assistance to NPS with interns and student volunteers at 391 sites along the BRP

Blue Ridge Women in Agriculture: Students are able to conduct internships, serve on the board, and learn the challenges that women farmers face in the Blue Ridge area.  Learning goals include promoting ownership and management of farms by women; identification of assets for women farmers, and understanding the role that women farmers play in rural community development.  The community learns about opportunities and issues facing women farmers.  BRWIA conducts an annual High Country Farm Tour for over 500 visitors each year.  The Partnership also conducts workshops on farming for farmers and interested community members. ",--,https://www.northcarolina.edu/?q=serving-locally-and-globally/community-engagement
Aquinas College,2016-03-21,2016-03-21 14:45:30,eimerjes@aquinas.edu,2.0,In Progress,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:44,corey.hawkey@asu.edu,2.0,Pursuing,True,"Members of the Arizona Board of Regents are appointed by the Governor to represent all of the stakeholder groups in Arizona.  The Board operates in complete transparency.  Agenda and minutes are publicly posted, and the meetings are streamed over the web in real time.  Videos of past meetings are posted on the web.  The Board invites comments from the public at the start of every meeting.
Arizona State University was formed by a vote of Arizona residents.  As such, we have a commitment to serve these residents.  One of our goals is:
Enhance our local impact and social embeddedness 
•	Enhance linkage to local and regional social and community development groups 
•	Establish/develop/enhance linkages and partnerships with local, regional and national NGO’s, governments and public agencies, and private sector firms with a focus on community development 
•	Undertake applied sustainability research that impacts the social, environmental and economic evolution of the southwest 
•	Provide an objective and ongoing facilitation role for the region's progress 
","Far from being an “ivory tower,” in the last 10 years Arizona State University has made deep community involvement a key part of its identity. The university goes beyond typical outreach activities to establish significant ongoing partnerships with cities, towns, school districts and organizations across Arizona and the world. 
The desire to serve is fostered in ASU students. During 2013 about 14,000 Sun Devils participated in community service activities, performing more than 400,000 hours of service. More meaningfully, ASU students and faculty run three nurse-managed health clinics, work with entrepreneurs to start businesses, provide training for classroom teachers, mentor low-income parents, report regional news, develop sustainability solutions and provide testing for solar energy equipment and other devices. 
The ASU-Mayo Clinic partnership is perhaps the university’s most transformative. The two organizations initiated their successful collaboration in 2003. Since then, ASU and Mayo Clinic have formed a joint nursing education program; joint faculty appointments; dual degree programs; and collaborative research projects in cancer, Alzheimer’s disease, cellular and molecular biomedicine, vaccine development, genetics and sensory motor coordination. In 2011, the partnership deepened when ASU relocated its biomedical informatics department to Mayo’s Scottsdale campus. Last fall, Mayo announced that all students at that campus would complete a specialized master’s degree in the science of health care delivery granted by ASU, believed to be the first such program offered by a medical school. 
ASU also has taken up the gauntlet globally, developing research and educational partnerships in countries ranging from China to Mexico, from Ireland to Vietnam. Just as global cultures and societies are increasingly intertwined, so too are the economies of the world. Engaging with other countries is critical to the advancement of ASU as well as metropolitan Phoenix and the rest of the state. These linkages draw on ASU’s interdisciplinary strengths to amplify the results of research into climate change, health, water usage, renewable energy and K-12 education. 
Locally and globally, these efforts are fundamental to the higher mission of ASU, which is to transform society. 
“ASU has laid out the idea of the university as being one of the prime drivers in changing the world,” said Stephen Feinson, assistant vice president for global engagement. “There’s no option not to be engaged both locally and globally. We are all interconnected.” 
The university, however, does not just transform society. Society transforms the university. Students benefit by seeing the larger picture of what they are learning, and they gain greater mobility in study abroad opportunities, internships and careers. In 2010-11 academic year, 1,574 students studied abroad, an increase of almost 14 percent from the previous year. Hundreds more worked on international projects, increasing their cultural awareness and their preparation for success in the 21st century. 
ASU ranks 19th among all large universities for the number of graduates who volunteer and are accepted into the Peace Corps, and is one of the top schools nationwide for winning student Fulbright awards for study abroad. 
One of ASU’s most successful transformative projects is GlobalResolve, a program in which ASU students and faculty design affordable, low maintenance solutions to health and environmental needs in under-developed communities. About 300 ASU students in engineering, business, design, sustainability, architecture and other majors have participated in the four-semester GlobalResolve courses in the College of Technology and Innovation, many of them traveling overseas to work with local residents in developing nations. 
The ASU faculty also gains by working collaboratively with scientists and peers around the world, participating on research teams, seeking to solve common challenges. ASU has particularly strong ties with Sichuan University in China and with Technologico de Monterrey in Mexico, offering joint programs that include engineering and business. 
Open for business in Shanghai
More than 700 Chinese executives have earned MBAs from the W. P. Carey School of Business Executive MBA program in Shanghai, launched in 2003 under the auspices of the Chinese Ministry of Finance. This partnership is invaluable as China has the second largest economy in the world, and its people are a rich source of talent and innovation. 
ASU has received numerous national honors for its commitment to the community. The university has been named to the President’s Higher Education Community Service Honor Roll every year since 2008, and in 2010, it was one of only 10 schools invited to join the Changemaker Campus Consortium by Ashoka, a global nonprofit network of social entrepreneurs. 
","Too numerous to list.  See the above information, and see:
Community Engagement.  ASU Community Connect
http://community.asu.edu/index.php 

Community Engagement.  Community Outreach
http://outreach.asu.edu/

Annual Report: Community Writ Large
http://annualreport.asu.edu/community-writ-large.html 
","Again, too numerous to list.  One example is that all of our K-12 charter schools were rated as superior.  These schools serve under-privileged populations.
The University was named as a Community Engaged University by the Carnegie Foundation.",http://annualreport.asu.edu/community-writ-large.html,--
Austin College,2016-02-29,2016-02-29 18:25:06,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:09,dscott@babson.edu,2.0,In Progress,--,--,--,--,--,--,"Babson annually invites members of the Board of Selectmen (municipal government representatives) from neighboring communities to campus . Additionally, Babson engages with the surrounding community in preparation for and during major construction and renovation projects in light of the impacts such projects may have on the community. "
Ball State University,2016-02-29,2016-02-29 08:26:30,rkoester@bsu.edu,2.0,Pursuing,True,"As an example, the university is working toward directing local outreach and engagement to align with:
1. The Muncie Action Plan (MAP).  MAP was developed through an open process representing all community demographics and includes long-term goals and measurable action steps which upload the values identified by our community 
2. VISION 2016 Initiative - the community's 5-year economic development plan.","Many university faculty and staff are active throughout Indiana in local community, county and statewide governance structures and groups.  Meetings of these bodies involve sharing perspectives about the university's outreach and engagement efforts.  Feedback is routinely shared with department chairs, colleagues and Building Better Communities staff members. 

The university maintains strong relationships with key ""aggregator"" organizations throughout Indiana.  These organizations are typically statewide in scope and serve and advocacy mission for a particular sector or sub-sector of the economy.  In many cases, the university is represented on the boards of these organizations, serves in an advisory capacity, or provides a service.  Examples include TechPoint, the agreegator for the Information Technology sector; Conexus, the advocacy organization for the logistics industry; and the Indiana Association of Cities and Towns, the aggregator for municipal governmental jurisdictions.  The university is particularly interested in working with aggregators because of their influence within the entire sector.  These organizations are influential throughout the state and their leaders are key communicators and thought leaders.","The Associate Vice President of Economic Development and Community Engagement has been active in several organizations, including the Board of Directors of the Muncie Downtown Development Partnership, the Economic Development Board of the Muncie/Delaware County Chamber of Commerce, East Central Indiana Regional Partnership, and the Muncie Redevelopment Commission.  In addition, the AVPECDCE authored the ""Building Better Neighborhoods"" proposal that was funded by the Ball Brothers Foundation for $200,000. over three years.  

Building Better Neighborhoods serves as a resource to the Muncie community and develops processes to streamline access to Ball State resources, particularly those needed to foster strong neighborhood associations, which represent the critical infrastructure for pursuing and addressing additional projects of the Muncie Action Plan and VISION 2016 Initiative.

","Vision 2016 Commitment - In 2011 Ball State University pledged $250,000.00 in in-kind services toward the Muncie/Delaware County Vision 2016 Initiative.  To date, we have completed a variety of projects and have officially booked $218,672.00 toward that goal.

Cintas Initiative - The university in partnership with the City of Muncie and others are working together on a major community development project which involves repurposing a large (85,000+ gross square feet) vacant industrial building which sits adjacent to the core downtown district.  Early plans call for the creation of a ""Maker's Space"" for entrepreneurship, innovation, creativity and development.  The university views this public-private partnership as a great opportunity to support its community engagement commitment and elevate participation in Muncie.

Carnegie Community Engagement Classification - In January 2015, Ball State University was awarded the Community Engaged Classification from the Carnegie Foundation for the Advancement of Teaching.  The designation caps a two-year process that involved representatives from all seven colleges and included self-study.  The classification created in 2006, recognizes colleges and universities that demonstrate an institution-wide commitment to public service, civic involvement and community partnership.",http://www.bsu.edu/bbc,--
Baylor University,2016-02-26,2016-02-26 17:48:31,Smith_Getterman@baylor.edu,2.0,Pursuing,True,"As a matter of policy for the Office of Sustainability, the Assistant Director of Sustainability and Special Projects either sits on community boards or elects representatives from within the university to serve on community and government boards. The Assistant Director of Sustainability and Special Projects is also a part of the Sustainability Urban Accelerator team that was formed by the local Chamber of Commerce and is a collaboration between the city, chamber, and university on the planning of possible future sustainability related community wide initiatives. ",The boards and committees that the university takes part in are naturally diverse and representative to all constituents living in the surrounding communities. All feedback taken in by the university during engagement with community stakeholders is treated fairly and equally. ,"Waco Chamber of Commerce
City of Waco Public Improvement District
Keep Waco Beautiful 
City of Waco Recycling Advisory Committee
",,--,--
Belmont University,2016-03-14,2016-03-14 08:38:31,mary.lucus@belmont.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Beloit College,2016-03-23,2016-03-23 13:47:37,chapmanlr@beloit.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Bentley University,2016-03-25,2016-03-25 16:00:48,nberland@bentley.edu,2.0,In Progress,--,--,--,--,--,--,--
Berea College,2016-02-29,2016-02-29 10:22:41,paulyj@berea.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Binghamton University,2016-03-20,2016-03-20 17:32:56,sdejohn@binghamton.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
