Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, ...","This innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...","The innovative practice, policy, program, or outcome has occurred within the past three years","The institution has not previously received a STARS innovation credit for this specific practice, ...",A letter of affirmation from an individual with relevant expertise,Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available,Public Notes
Albion College,2016-02-25,2016-02-25 15:19:03,mfrever@albion.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Allegheny College,2016-03-29,2016-03-29 08:53:31,kelly.boulton@allegheny.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
American University,2016-03-23,2016-03-23 14:22:05,meganzl@american.edu,2.0,Pursuing,ECOllaborative Colloquium,"American University's Environmental Collaborative (""ECOllaborative"") is the gathering place for members of the American University community who are working to advance environmental protection and societal prosperity during a period of rapid global environmental change. The function of the ECOllaborative is to enhance and showcase American University's groundbreaking environmental and sustainability research, degree-granting programs, and campus infrastructure. Our efforts pull together the diverse perspectives and talents of more than fifty American University faculty and numerous staff and students. Our interests and our particular lines of inquiry are as varied as our backgrounds. We are united by considerations of justice, equity, and inclusion, as we work to develop new knowledge and insights to mitigate or reverse the effects of environmental degradation in the United States and around the world, and as we contribute to building more resilient relationships between human endeavors and the planet on which all life depends.

The ECOllaborative Colloquium series brings together faculty conducting research in a specific field of sustainability to share findings, elevate each other's research, and bring greater awareness of sustainability to the campus community. Unlike other lecture series, this colloquium is specifically designed to have faculty share peer to peer while enlightening the community and driving forward not just campus sustainability but the greater movement. Series themes have included water, conservation, energy, climate. and environmental law and are widely attended by faculty, staff, and all levels of students.","As a result of the ECOllaborative group and colloquium series, there has been increased camaraderie and communication across academic schools and issue areas. It has been a driving force behind the fostering of sustainability in campus culture, especially among faculty.",**,True,True,True,True,http://stars.aashe.org/media/secure/54/6/584/3278/AU_starsLetter_2016_1.pdf,**,True,True,True,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,http://www.american.edu/provost/ECOllaborative/about.cfm,--
Appalachian State University,2016-02-01,2016-02-01 13:37:29,balllf@appstate.edu,2.0,Pursuing,Carbon Neutral Commuter,"In the summer of 2014 Appalachian State University launched its first attempt into the voluntary carbon market by making available the purchasing of $8 carbon offsets with a campus parking pass as well as the opportunity to purchase carbon offsets through the University Bookstore by participating in the Carbon Neutral Commuter program. 

ASU's Office of Sustainability Through polling and voluntary surveys it was discovered that the average commuter at ASU drives 4,300 miles per year - releasing roughly 1.9 Metric tons of the greenhouse gas Carbon-Dioxide. In 2013, Appalachian reported a total of 7,474 student, faculty and staff commuters with a total commuting carbon footprint of 13,771 Metric Tons of Carbon Dioxide! That's almost 20% of the university's ENTIRE carbon footprint!
","Before the program was launched, Sterling Planet, Inc. - our carbon offset broker - predicted we would have, 2-3% participation among commuters, we had 17.5%! In response to the great participation seen with the parking passes, everyone has the opportunity to offset their impact on the planet at the University Bookstore! ",**,True,True,True,True,http://stars.aashe.org/media/secure/35/6/584/3278/Letter%20of%20AffirmationInnovation(3).pdf,**,--,--,True,--,True,--,--,--,--,--,True,--,--,--,--,--,--,--,http://sustain.appstate.edu/carbon-neutral-commute,--
Aquinas College,2016-03-21,2016-03-21 14:45:24,eimerjes@aquinas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona State University,2016-02-29,2016-02-29 15:08:40,corey.hawkey@asu.edu,2.0,Pursuing,Global Sustainability Studies Program,"In March 2012, Arizona State University’s Julie Ann Wrigley Global Institute of Sustainability received $27.5 million from the Rob and Melani Walton Fund of the Walton Family Foundation. This was provided to the Wrigley Global Institute of Sustainability to develop and deploy promising solutions to sustainability challenges. This investment was designed entirely to support programs, which led to the creation of the Rob and Melani Walton Sustainability Solutions Initiatives. The investment will be distributed over a period of five years and by 2017 Walton Sustainability Solutions Initiatives will be self-sustaining.

The Walton Sustainability Solutions Initiatives is broken down into eight distinctive initiatives that can be grouped together in three focus areas. The three focus areas are delivering sustainability solutions, accelerating global impact, and inspiring future leaders. Accelerating global impact is made up of two programs, one of which is the Global Sustainability Studies Program. This program focuses on providing students with opportunities to study and help solve sustainability problems in a global context. To do this, Walton Sustainability Solutions Initiatives helped create four study abroad opportunities focusing on a variety of sustainability issues. The Global Sustainability Studies Program also provides financial support for the four sustainability study abroad programs to Sustainability majors and minors. ",Summer 2013 was the first summer that the Sustainability Solutions Scholarship was offered to 80 students. This has tripled the number of sustainability majors participating in a sustainability oriented study abroad program. The Global Sustainability Studies scholarship funding will be available to all motivated and eligible sustainability students during summer of 2014.,**,True,True,True,True,http://stars.aashe.org/media/secure/21/6/584/3278/ASU%20STARS%20Innovation%20Credit%20Global%20Sustainability%20Studies%20Program_1.pdf,**,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,https://sustainabilitysolutions.asu.edu/programs/global-studies/,"This innovation submission corresponds with the one Arizona State University submitted for its February 28, 2014 AASHE STARS rating. A new innovation credit will be included when the University re-submits for its February 2017 AASHE STARS rating."
Austin College,2016-02-29,2016-02-29 18:25:02,pschulze@austincollege.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Babson College,2016-02-24,2016-02-24 08:38:03,dscott@babson.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ball State University,2016-02-29,2016-02-29 08:26:24,rkoester@bsu.edu,2.0,Pursuing,"Renewable Energy, Natural Resources, Solar Electricity, Communications, Web Apps","For the last two years, Ball State University has been working to develop and pilot tools and techniques whereby the sustainability enterprise of the Indianapolis Airport Authority (IAA) can be shared with the public through interactive web and smartphone information access.

This community outreach will continue to involve the collaboration of the Telamon Corporation, Johnson Melloh Solutions, as well as the IAA.
","The development of the interactive web and smart phone packages have included the documentation of the IND Solar Farm and the Sodalis Nature Park. 

The IND Solar Farm is the largest such installation of any airport in the world. The presentation of the technology and operational factors of that system as well as the preservation practices of the IAA-owned and managed Sodalis Nature Park are made available to the public using a stand-alone interactive kiosk located in the airport terminal, numerous web-based video feeds and smartphone applications which allow for travelers and their friends and colleagues to engage in real time learning about the sustainability practices of the IAA during their wait times in the terminal facility.

In addition these materials are made available through web links from BSU, Telamon, Johnson Melloh and IAA web pages.

This work has been developed entirely by students under faculty mentorship as part of the university’s commitment to entrepreneurial learning by those participating students and its commitment to championing best practices in sustainability to the 10 million+ travelers moving through the airport annually.
",**,True,True,True,True,http://stars.aashe.org/media/secure/34/6/584/3278/IAA%20ltr..pdf,**,--,--,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Baylor University,2016-02-26,2016-02-26 17:48:25,Smith_Getterman@baylor.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
