Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make a snapshot of its investment holdings, including the amount invested in ...",The percentage of the total investment pool included in the snapshot of investment holdings,A copy of the investment holdings snapshot,The website URL where the holdings snapshot is publicly available,Public Notes
Bucknell University,2016-05-23,2016-05-23 16:29:41,delmogaz@bucknell.edu,2.0,Pursuing,--,2.0,,http://www.bucknell.edu/Documents/Communication/Spring2014EndowmentReport.pdf,--
Florida Gulf Coast University,2016-05-23,2016-05-23 16:33:06,kleone@fgcu.edu,2.0,Not Pursuing,--,--,--,--,FGCU owns a share of the State of Florida investment pool.  
Haverford College,2016-05-23,2016-05-23 16:39:25,ckent@haverford.edu,2.0,Pursuing,True,100.0,,http://www.haverford.edu/business/financial.php,--
Juniata College,2016-05-23,2016-05-23 16:48:50,yelnosr@juniata.edu,2.0,Not Pursuing,--,--,--,--,--
Oregon State University,2016-05-23,2016-05-23 16:54:18,brandon.trelstad@oregonstate.edu,2.0,Pursuing,True,100.0,http://stars.aashe.org/media/secure/114/6/616/4105/endowment_holdings_06_30_15.pdf,http://www.osufoundation.org/s/359/foundation/index.aspx?sid=359&gid=34&pgid=4400,"The OSU Foundation makes a snapshot of its investment holdings available to the public on its website:  http://www.osufoundation.org/s/359/foundation/index.aspx?sid=359&gid=34&pgid=4400
"
Pittsburg State University,2016-05-23,2016-05-23 16:57:41,bpeery@pittstate.edu,2.0,Pursuing,--,--,,--,--
Slippery Rock University,2016-05-23,2016-05-23 17:00:33,paul.scanlon@sru.edu,2.0,Not Pursuing,--,--,--,--,--
University of Texas Rio Grande Valley,2016-05-23,2016-05-23 17:03:48,Marianella.Franklin@utrgv.edu,2.0,Pursuing,True,100.0,http://stars.aashe.org/media/uploads/test_cases/PUF2015DetailedInvestments.pdf,http://www.utimco.org/Funds/Endowment/PUF/PUF2015DetailedInvestments.pdf,--
Weber State University,2016-05-23,2016-05-23 17:05:21,jenniferbodine@weber.edu,2.0,Pursuing,--,--,,--,--
Wilfrid Laurier University,2016-05-23,2016-05-23 17:07:57,cbennett@wlu.ca,2.0,Not Pursuing,--,--,--,--,--
